Bubble Sort Padrão,Bubble Sort Otimizado,Selection Sort Padrão,Selection Sort Otimizado,Insertion Sort,Radix Sort,Criação de Árvores,Criação de Listas,bfSearch,dfSearchPreOrder,dfSearchInOrder,dfSearchPostOrder
219824000,0,109985000,156535000,0,0,0,101006000,981000,0,0,0
284159000,145187000,175749000,145092000,29311000,57391000,997000,95008000,2354000,0,0,0
285062000,163148000,317263000,239186000,40131000,78756000,0,102757000,0,0,0,0
299931000,191468000,141577000,133742000,59683000,89945000,0,100182000,8758000,0,0,1004000
304506000,239739000,94490000,140400000,76036000,100059000,0,98864000,0,1100000,152000,0
466237000,217475000,94865000,122084000,50041000,118289000,992000,93583000,0,0,0,0
344896000,210182000,98174000,115946000,50329000,170324000,4228000,96448000,0,0,0,0
317083000,194774000,155008000,160240000,47681000,130088000,2597000,96927000,0,0,0,0
379343000,229979000,132790000,120229000,50089000,146640000,3284000,96357000,926000,0,0,0
356344000,220240000,139328000,185954000,44767000,151502000,2603000,95826000,0,0,0,0
419668000,250235000,108357000,119532000,47356000,189714000,0,109731000,3783000,869000,0,0
350020000,254935000,108294000,131627000,48686000,179878000,0,150265000,4584000,0,0,0
467559000,247581000,100158000,129137000,63656000,228349000,0,140824000,1000000,0,0,777000
313225000,230110000,119015000,153761000,55659000,210207000,2016000,163625000,0,0,0,0
344725000,197714000,190294000,124756000,80756000,209854000,0,118754000,0,0,0,0
319634000,240063000,119858000,135282000,49940000,184661000,0,100339000,0,0,0,0
390217000,249909000,110010000,139952000,55475000,161244000,1857000,100128000,0,0,0,0
332599000,199630000,94924000,119043000,66120000,176782000,0,99768000,0,0,0,0
374790000,215379000,110102000,127922000,49999000,165025000,8231000,156807000,1541000,0,0,0
440035000,295031000,113660000,122897000,49891000,168694000,2149000,117908000,10410000,0,1044000,0
330125000,199930000,110107000,130003000,51013000,193918000,725000,106991000,0,0,0,0
314415000,226638000,95687000,119898000,55254000,212870000,6666000,101490000,0,0,0,0
298454000,194274000,95162000,130699000,52203000,218605000,0,110018000,0,0,0,0
320035000,219882000,99826000,135030000,64616000,238538000,1254000,116612000,0,0,0,0
330130000,205033000,94905000,123669000,52824000,219698000,2742000,109621000,0,0,0,0
353105000,265685000,94963000,115028000,50096000,199447000,0,100079000,0,0,9825000,83000
349981000,200071000,97651000,123268000,55235000,204801000,2053000,98901000,1331000,0,0,0
296655000,233589000,100296000,117474000,49944000,199929000,0,99610000,0,0,0,0
372667000,207425000,98726000,119222000,57317000,180202000,0,104204000,0,0,0,0
320287000,218128000,95342000,114789000,66431000,172190000,2374000,113796000,891000,1001000,0,0
336586000,209891000,105752000,120324000,59739000,194547000,1204000,139289000,1167000,0,0,0
287089000,189888000,108370000,136833000,60073000,199941000,2512000,108578000,6821000,0,0,0
344270000,300394000,99633000,116915000,60227000,189029000,3144000,115255000,0,0,0,0
300272000,191448000,96485000,118157000,55003000,202685000,0,110725000,0,0,0,0
370238000,209902000,94122000,122565000,55196000,209580000,0,127984000,0,0,0,0
314132000,194792000,89632000,120786000,59353000,200146000,1546000,118364000,0,0,0,0
321960000,226740000,99501000,126981000,70920000,280154000,0,124167000,1040000,0,0,0
337381000,223421000,109918000,109788000,97498000,221265000,1954000,141763000,0,0,0,0
319278000,204668000,100026000,117212000,70182000,183481000,0,163000000,0,0,0,0
338739000,260061000,96606000,120126000,55817000,199869000,0,157482000,0,0,0,0
375270000,244774000,95859000,117149000,58778000,205903000,3041000,110585000,1002000,0,0,0
357177000,213166000,98355000,114376000,64216000,193950000,3004000,173477000,0,0,0,0
304962000,213982000,103638000,126834000,59656000,209681000,0,129769000,0,0,0,0
304941000,205085000,112312000,118990000,78919000,223783000,3519000,221166000,0,0,0,0
300323000,222088000,121807000,162355000,51139000,197833000,331000,153563000,0,0,0,0
377345000,210058000,109589000,132508000,80208000,195153000,0,127166000,0,0,0,0
317200000,247446000,112860000,155455000,54858000,250060000,4615000,109359000,0,0,0,0
337944000,195584000,158455000,262345000,60008000,184885000,1993000,131123000,0,0,0,0
317782000,198958000,391647000,345692000,68827000,184138000,0,129978000,0,0,0,0
320331000,209656000,151596000,191815000,70093000,190797000,0,131521000,0,0,0,0
328851000,196000000,183343000,239185000,57934000,195095000,8147000,125832000,0,0,0,4005000
302307000,197127000,138282000,130090000,57347000,197284000,0,150062000,0,0,0,0
309821000,204999000,130103000,130380000,64675000,191666000,0,172051000,0,0,0,0
320965000,209069000,134449000,177779000,58230000,219856000,0,134589000,1001000,0,993000,0
420899000,214367000,170769000,188413000,72948000,210061000,2735000,118951000,0,0,0,0
310260000,209756000,140693000,139747000,79080000,205223000,0,132503000,0,0,0,0
310151000,220117000,131550000,148449000,79927000,199873000,7584000,124781000,0,0,0,0
321482000,202230000,109812000,159938000,58370000,247547000,0,140171000,0,0,0,0
374818000,205300000,160122000,199955000,55567000,262704000,0,146924000,2508000,0,0,0
288330000,212070000,110271000,189670000,62284000,194521000,0,118383000,0,0,0,0
300608000,209111000,225466000,219785000,51681000,194206000,9285000,143607000,0,0,0,0
344013000,209481000,181722000,268132000,59760000,199805000,0,127634000,982000,0,0,0
309206000,222188000,254693000,255282000,59045000,200304000,1989000,119769000,0,0,0,0
319931000,230206000,239679000,270114000,69517000,198811000,1592000,104987000,0,0,0,0
295045000,190091000,260968000,259712000,53306000,207211000,1503000,110427000,908000,0,0,0
300093000,210718000,172158000,187681000,57656000,199759000,1997000,104766000,0,0,0,0
300369000,223014000,210954000,220945000,77731000,200733000,4086000,103340000,1715000,0,0,0
332729000,205222000,200936000,198823000,56416000,194700000,959000,105672000,1083000,0,0,0
298326000,194224000,344849000,208415000,53160000,198354000,2706000,99418000,0,0,0,0
320236000,199790000,199591000,174989000,52558000,200297000,9240000,106987000,3081000,0,0,0
325064000,220290000,225145000,169533000,50172000,193882000,0,129857000,0,0,0,0
321343000,200136000,109733000,180203000,50222000,205252000,5061000,109890000,0,0,0,0
294849000,198587000,108324000,111801000,50337000,216285000,0,103989000,0,0,0,0
351501000,233953000,105906000,109896000,53603000,269860000,5087000,106936000,0,0,0,0
299540000,198326000,120291000,122105000,54587000,214565000,0,107943000,999000,0,0,0
371607000,202640000,120383000,134250000,53434000,196273000,1003000,106125000,0,0,0,0
354106000,215868000,115759000,165966000,54226000,206110000,2055000,103693000,0,0,5503000,0
332832000,207057000,137207000,172739000,56577000,200260000,0,104610000,2640000,0,0,0
302992000,229973000,187854000,156698000,50766000,231893000,1252000,116913000,0,0,0,0
300620000,195596000,118078000,136567000,64319000,227013000,1773000,109910000,999000,0,1004000,0
320302000,227326000,116059000,146653000,60391000,212764000,962000,114760000,0,0,0,0
326888000,196533000,115669000,131238000,55322000,208612000,0,112508000,717000,0,0,0
389809000,203476000,113627000,132529000,48428000,194888000,2636000,103408000,0,0,0,0
354855000,256607000,113614000,142054000,60158000,193128000,0,119798000,0,0,0,0
320333000,211235000,108539000,118236000,49881000,210245000,0,114864000,0,0,0,0
359614000,240033000,104870000,119943000,56619000,209976000,5239000,110195000,0,0,0,0
333523000,226618000,109072000,119583000,53098000,210293000,5005000,102231000,1008000,0,0,0
404924000,298880000,101649000,117881000,48492000,204756000,1665000,108425000,0,0,0,0
412944000,233480000,104704000,119633000,50008000,215463000,1108000,109376000,996000,0,0,0
385126000,240815000,109790000,157108000,54474000,230194000,1994000,103090000,1919000,629000,0,0
369857000,269916000,98570000,128932000,50173000,196122000,2289000,113087000,0,0,0,0
300333000,199050000,109831000,135219000,55306000,205797000,0,112551000,0,0,0,0
317347000,192552000,121959000,141315000,55013000,213722000,7654000,149934000,0,0,0,0
399695000,200101000,103488000,116581000,58531000,198862000,0,104875000,0,0,0,0
394535000,249342000,99809000,125354000,58540000,201338000,1236000,99627000,0,0,0,0
315195000,222672000,110190000,132290000,50234000,206463000,7756000,112553000,0,0,0,0
386837000,232057000,106550000,126253000,49995000,209758000,0,120051000,0,0,0,0
359944000,209900000,132424000,129769000,55102000,201708000,0,111761000,0,0,0,0
392166000,211421000,106670000,182983000,70162000,208028000,0,113006000,1929000,0,0,744000
320171000,213201000,136531000,127914000,65374000,202931000,0,111988000,996000,0,0,0
