Quantidade de Elementos,Tempo (nanossegundos)
10000,144000
10000,30514000
10000,43530000
10000,46557000
10000,40523000
10000,58219000
10000,50429000
10000,46528000
10000,46084000
10000,45147000
10000,48282000
10000,48850000
10000,52012000
10000,66543000
10000,51866000
10000,67650000
10000,62630000
10000,62644000
10000,53100000
10000,51102000
10000,57404000
10000,54452000
10000,59104000
10000,65610000
10000,54201000
10000,56255000
10000,59104000
10000,50242000
10000,51422000
10000,50206000
10000,50276000
10000,54531000
10000,52918000
10000,62982000
10000,50522000
10000,58858000
10000,66778000
10000,51715000
10000,63615000
10000,57798000
10000,52228000
10000,53599000
10000,57864000
10000,72607000
10000,51516000
10000,58384000
10000,56331000
10000,50897000
10000,51422000
10000,54096000
10000,54979000
10000,67406000
10000,50909000
10000,55636000
10000,64574000
10000,51040000
10000,71735000
10000,56708000
10000,51018000
10000,50942000
10000,51836000
10000,54888000
10000,57308000
10000,52636000
10000,59973000
10000,65444000
10000,53925000
10000,70090000
10000,59245000
10000,57074000
10000,62611000
10000,57772000
10000,66977000
10000,51928000
10000,59963000
10000,61158000
10000,50606000
10000,50304000
10000,52845000
10000,66540000
10000,73891000
10000,55094000
10000,71164000
10000,53534000
10000,70094000
10000,58383000
10000,57851000
10000,59611000
10000,54881000
10000,65030000
10000,55849000
10000,66396000
10000,63300000
10000,53172000
10000,59629000
10000,56972000
10000,52877000
10000,62184000
10000,56760000
10000,63780000
