Selection Sort Padrão,Selection Sort Otimizado
108186248,93301561
99262885,109384173
95434341,89810977
93159987,101964206
107592440,90898717
93680198,107967399
103993453,108068628
95325548,118640246
100944083,117628388
126393925,122579984
126792682,142295569
142605748,123855138
102849078,110923305
125611254,120010422
124079697,95858212
123081574,121633903
113213940,120201109
113341138,116574882
114663625,95014868
117810297,124448094
100006172,113404936
102407914,116059920
123656858,114372549
117041462,123657265
110902366,108691360
112614234,118508390
122907359,98568620
106816311,123115718
100869023,108603827
111969308,144062053
117370647,107901199
109104682,128775119
100889481,117584499
123027908,116283214
109682169,96025524
111964499,123689579
100758857,99169271
106389625,111323152
113596123,110155152
108519540,119608784
102046801,95541611
110538999,151078219
116880575,96104198
116872210,121902211
104750326,97425163
110371565,106196675
104466026,96248340
106367955,124393852
109346336,99333898
112420897,102485139
123895049,102517329
134193249,123042641
102024640,96337627
117926988,110386490
108982724,103992151
109776165,121628906
102811718,109429218
113725325,103278599
127605957,106668636
111686069,120640529
102898239,101031997
119920044,122047107
113974048,96948236
110982779,123393102
103778222,99016346
112862003,99511129
104169271,96689052
117081076,137539915
104702273,107027686
163337316,104149846
104289857,106462671
115134925,112929620
103742004,95459258
118088377,98165668
172401928,125059606
117527807,111713369
107156155,96018632
111918786,101226397
104447581,97846412
117559078,111770707
104579383,95866742
111419521,97434694
104397307,107645388
117958274,108742716
104338918,95948631
116086771,108891835
115379952,104020324
118557752,119324673
104832900,95432879
122860782,103373076
105314419,97552634
141841462,107905774
106141792,95473565
111444247,100922713
131862203,145734724
120172205,115199365
105467605,95328124
111981159,98865147
105906463,96592482
122242678,107760563
