Criação de Árvores,Criação de Listas,bfSearch,dfSearchPreOrder,dfSearchInOrder,dfSearchPostOrder
716235000,0,0,0,0,0
388438000,15627000,962000,0,0,0
307664000,0,0,0,0,0
198975000,8019000,15016000,0,0,0
151269000,0,0,0,0,0
129334000,0,1053000,0,0,0
106879000,1062000,0,0,0,0
110672000,0,0,0,0,0
79418000,0,11526000,0,0,0
68805000,2876000,8525000,0,0,0
74065000,0,0,0,0,0
66838000,0,0,0,0,0
67429000,0,0,0,0,0
53192000,0,10024000,0,0,686000
46251000,3984000,5639000,0,0,0
50573000,0,0,0,0,0
52150000,0,0,0,0,0
52753000,0,12237000,0,0,0
64183000,1470000,1857000,0,0,0
34323000,0,5924000,0,0,0
60545000,0,0,0,0,0
50004000,0,0,0,6057000,101000
49461000,0,3615000,0,0,0
46738000,0,0,0,0,0
41321000,8028000,8014000,0,0,0
38590000,0,8021000,0,0,0
42914000,0,0,0,0,0
41190000,0,5078000,0,0,0
41178000,0,8028000,0,0,0
46523000,0,2336000,0,0,0
33429000,0,0,0,0,0
32826000,0,6025000,0,0,0
33170000,0,0,0,0,0
29022000,9555000,0,0,0,5597000
22849000,0,9017000,0,0,572000
23044000,0,0,0,0,0
24259000,0,8229000,932000,0,0
22808000,0,0,0,0,0
21667000,369000,0,0,0,0
17456000,0,0,0,0,0
34171000,1868000,0,0,0,0
78588000,0,7989000,0,0,0
39741000,0,1501000,1496000,0,0
24080000,0,0,0,0,0
23783000,0,0,0,0,0
19856000,121000,0,0,0,0
25251000,0,0,0,0,0
33728000,0,0,0,0,0
18131000,7509000,6648000,0,0,0
23882000,0,8699000,98000,0,0
27735000,2264000,3434000,0,0,0
31690000,0,0,0,0,0
27486000,0,0,0,0,0
34389000,0,0,0,0,0
25273000,6594000,1765000,0,0,1128000
20546000,0,10295000,138000,0,0
17581000,1304000,2455000,0,1010000,148000
16957000,1460000,1558000,0,0,0
17389000,0,0,0,0,0
28642000,0,0,0,0,0
16783000,0,9653000,0,274000,0
17216000,0,5773000,0,0,0
18435000,0,0,0,0,0
17242000,1262000,453000,0,0,0
18146000,0,8111000,0,0,0
15432000,0,0,0,0,0
17800000,0,0,0,0,0
26732000,0,0,0,0,0
16196000,6188000,0,0,0,0
10835000,0,0,0,0,0
19861000,0,10275000,0,463000,245000
21850000,0,0,0,0,0
23986000,0,3366000,0,0,0
21776000,0,0,0,0,0
17430000,2406000,0,0,0,0
21602000,0,0,0,0,0
18223000,0,0,0,0,0
24979000,0,0,0,0,0
12275000,2683000,4493000,0,0,0
26226000,0,2564000,0,0,0
20654000,0,0,0,0,0
16947000,2232000,0,0,0,0
22519000,0,0,0,0,0
7965000,9647000,0,0,0,0
15764000,0,9827000,277000,0,0
17702000,0,0,0,0,0
16541000,0,0,0,0,0
6639000,2624000,15557000,0,0,1133000
21884000,0,0,0,0,0
22091000,0,2357000,0,0,0
33211000,0,1234000,0,0,0
16543000,0,0,0,0,0
0,0,0,0,0,0
0,1224000,0,0,0,0
1049000,1973000,0,0,0,0
3800000,0,0,0,0,0
12230000,1227000,1064000,919000,0,0
13929000,1009000,1204000,1007000,0,0
11925000,0,0,0,0,0
8796000,0,0,0,5067000,0
